user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,Cluster,Cluster_Label
52,2023-09-12,Standard,399,4.9,5,3,2,51,1,2,Medium
53,2024-04-26,Standard,399,19.8,1,3,11,55,1,0,At-Risk
54,2023-08-22,Basic,199,20.5,7,2,13,19,0,2,Medium
55,2023-10-13,Basic,199,16.7,6,2,2,17,0,2,Medium
56,2023-09-25,Standard,399,10.3,8,2,33,60,1,0,At-Risk
57,2024-03-22,Basic,199,1.4,6,2,17,46,1,0,At-Risk
58,2023-01-02,Premium,699,3.3,3,2,33,2,0,1,Loyal
59,2024-11-11,Premium,699,17.3,3,2,35,27,1,1,Loyal
60,2023-11-13,Standard,399,16.8,1,5,21,57,1,0,At-Risk
61,2024-11-11,Premium,699,8.5,4,4,27,8,1,1,Loyal
62,2023-11-08,Standard,399,15.6,4,3,12,35,0,2,Medium
63,2023-08-07,Standard,399,11.0,5,3,14,28,1,2,Medium
64,2024-11-10,Premium,699,19.9,2,5,31,5,1,1,Loyal
65,2023-07-23,Premium,699,2.8,3,5,22,19,1,1,Loyal
66,2024-04-11,Basic,199,1.6,7,4,2,54,1,2,Medium
67,2024-11-02,Standard,399,18.1,6,3,13,25,1,2,Medium
68,2024-12-13,Premium,699,22.4,1,3,1,14,1,2,Medium
69,2024-04-20,Premium,699,1.7,3,0,30,29,1,1,Loyal
70,2024-05-31,Premium,699,24.7,5,3,34,39,0,1,Loyal
71,2023-09-23,Standard,399,11.4,2,5,36,55,1,0,At-Risk
72,2024-03-26,Basic,199,19.3,8,3,18,40,1,2,Medium
73,2023-05-22,Basic,199,6.2,5,2,19,57,1,0,At-Risk
74,2024-02-22,Basic,199,9.9,2,5,15,13,1,1,Loyal
75,2024-08-21,Standard,399,11.9,0,1,35,53,0,0,At-Risk
76,2023-11-02,Premium,699,21.5,6,3,2,0,0,2,Medium
77,2023-08-13,Standard,399,13.7,8,4,27,57,1,0,At-Risk
78,2024-02-19,Standard,399,12.4,6,2,28,42,1,0,At-Risk
79,2024-02-08,Premium,699,21.1,2,4,11,34,1,2,Medium
80,2023-02-21,Premium,699,2.6,6,1,2,55,1,2,Medium
81,2024-01-24,Standard,399,8.5,7,2,25,21,0,1,Loyal
82,2023-02-23,Standard,399,6.7,1,3,27,1,0,1,Loyal
83,2023-01-21,Standard,399,16.4,0,0,15,60,1,0,At-Risk
84,2023-08-12,Premium,699,6.3,7,5,10,7,0,2,Medium
85,2023-04-28,Standard,399,19.3,2,4,17,38,0,0,At-Risk
86,2024-01-20,Basic,199,3.1,0,2,20,36,1,0,At-Risk
87,2024-12-01,Standard,399,2.4,3,0,13,44,0,0,At-Risk
88,2024-01-15,Premium,699,20.0,0,2,8,34,1,2,Medium
89,2024-03-19,Basic,199,16.4,0,3,33,52,1,0,At-Risk
90,2024-10-28,Standard,399,17.8,6,1,30,46,0,0,At-Risk
91,2023-10-02,Standard,399,19.5,7,3,35,52,1,0,At-Risk
92,2024-04-20,Standard,399,20.9,1,2,16,56,1,0,At-Risk
93,2023-12-30,Premium,699,8.7,7,2,25,11,1,1,Loyal
94,2023-07-15,Standard,399,7.4,4,4,22,0,0,1,Loyal
95,2024-05-02,Basic,199,18.1,7,4,16,48,1,0,At-Risk
96,2024-12-09,Premium,699,11.5,0,0,32,18,0,1,Loyal
97,2024-03-11,Basic,199,16.8,5,3,20,35,1,0,At-Risk
98,2023-05-04,Premium,699,8.6,7,2,36,19,1,1,Loyal
99,2024-05-10,Premium,699,8.2,8,5,13,11,1,2,Medium
100,2023-07-03,Standard,399,15.1,1,1,34,18,0,1,Loyal
101,2024-07-20,Standard,399,17.8,2,2,1,2,0,2,Medium
102,2023-10-19,Standard,399,16.1,7,0,9,55,1,2,Medium
103,2024-05-04,Standard,399,11.3,2,0,31,16,0,1,Loyal
104,2023-06-05,Basic,199,10.3,1,4,5,40,0,0,At-Risk
105,2024-09-12,Basic,199,2.6,3,0,20,35,0,0,At-Risk
106,2024-08-25,Premium,699,19.5,6,3,15,58,1,0,At-Risk
107,2023-08-01,Standard,399,14.4,0,4,20,47,1,0,At-Risk
108,2023-03-18,Premium,699,7.0,1,1,14,15,0,2,Medium
109,2024-12-24,Basic,199,10.5,7,2,1,2,1,2,Medium
110,2024-08-26,Standard,399,2.2,3,2,30,50,1,0,At-Risk
111,2023-09-30,Premium,699,10.9,8,1,13,41,1,2,Medium
112,2023-10-23,Basic,199,2.0,4,4,5,47,1,0,At-Risk
113,2024-05-27,Standard,399,12.0,4,5,8,25,0,2,Medium
114,2023-09-14,Premium,699,11.2,0,3,32,47,1,0,At-Risk
115,2023-02-11,Basic,199,6.1,0,5,6,52,1,0,At-Risk
116,2024-03-22,Basic,199,13.2,7,2,31,11,0,1,Loyal
117,2024-11-17,Premium,699,24.2,7,2,32,26,1,1,Loyal
118,2024-07-17,Basic,199,8.6,7,2,11,42,0,2,Medium
119,2024-02-18,Basic,199,2.7,4,2,30,7,0,1,Loyal
120,2024-06-14,Premium,699,16.6,8,3,1,26,1,2,Medium
121,2023-10-22,Standard,399,15.8,0,1,32,17,0,1,Loyal
122,2023-01-15,Standard,399,3.5,3,5,32,10,1,1,Loyal
123,2023-06-07,Premium,699,2.8,1,3,27,60,1,0,At-Risk
124,2024-04-28,Standard,399,13.0,4,3,19,53,1,0,At-Risk
125,2023-05-20,Basic,199,14.0,6,1,30,58,0,0,At-Risk
126,2023-10-01,Basic,199,19.4,6,2,18,59,0,0,At-Risk
127,2023-12-20,Basic,199,18.3,7,1,19,28,0,2,Medium
128,2023-07-13,Standard,399,19.2,6,3,36,59,1,0,At-Risk
129,2024-04-29,Premium,699,14.5,3,3,16,2,1,1,Loyal
130,2024-08-27,Premium,699,10.0,2,3,25,2,1,1,Loyal
131,2023-01-16,Standard,399,21.9,7,0,7,33,0,2,Medium
132,2023-09-29,Premium,699,10.5,2,0,10,30,0,2,Medium
133,2023-11-21,Standard,399,16.4,5,5,26,54,1,0,At-Risk
134,2024-12-01,Premium,699,21.9,0,4,32,4,1,1,Loyal
135,2023-04-13,Standard,399,18.8,6,0,15,48,0,2,Medium
136,2023-10-28,Standard,399,17.5,0,0,11,20,0,2,Medium
137,2023-07-04,Standard,399,11.1,3,4,24,26,1,1,Loyal
138,2024-08-20,Basic,199,2.4,6,4,12,43,1,2,Medium
139,2024-04-21,Basic,199,11.8,4,3,15,16,0,2,Medium
140,2024-03-10,Standard,399,4.4,7,2,35,37,1,1,Loyal
141,2023-04-20,Premium,699,11.7,4,1,17,24,0,2,Medium
142,2024-11-05,Basic,199,14.5,4,5,25,18,1,1,Loyal
143,2023-10-21,Standard,399,0.7,0,4,18,47,1,0,At-Risk
144,2024-11-06,Basic,199,5.9,3,4,23,16,0,1,Loyal
145,2024-08-16,Premium,699,15.9,0,2,9,50,1,0,At-Risk
146,2023-07-25,Standard,399,2.7,4,2,9,47,1,0,At-Risk
147,2023-06-18,Basic,199,22.0,5,4,35,32,0,1,Loyal
148,2023-04-28,Standard,399,24.2,4,5,31,55,1,0,At-Risk
149,2024-02-11,Standard,399,3.9,3,5,5,46,1,0,At-Risk
150,2024-04-10,Premium,699,2.7,6,0,24,16,0,1,Loyal
151,2023-01-26,Standard,399,14.8,5,0,17,43,1,2,Medium
152,2024-04-20,Premium,699,8.5,3,5,36,4,0,1,Loyal
153,2023-11-08,Premium,699,16.4,1,1,20,2,0,1,Loyal
154,2024-11-17,Standard,399,2.9,8,1,8,24,1,2,Medium
155,2024-05-16,Premium,699,10.8,2,3,35,41,1,0,At-Risk
156,2024-03-30,Premium,699,23.5,4,0,27,44,1,0,At-Risk
157,2024-10-22,Standard,399,21.5,1,5,16,23,1,1,Loyal
158,2024-04-10,Standard,399,10.3,3,0,4,60,0,0,At-Risk
159,2023-05-09,Basic,199,16.2,0,0,14,50,1,0,At-Risk
160,2023-08-27,Premium,699,2.2,8,1,14,37,1,2,Medium
161,2023-05-14,Standard,399,19.8,0,2,10,54,0,0,At-Risk
162,2023-01-16,Premium,699,20.1,1,5,17,55,1,0,At-Risk
163,2024-03-07,Standard,399,14.9,0,1,16,16,1,2,Medium
164,2024-08-30,Premium,699,18.8,7,3,8,49,1,2,Medium
165,2024-11-05,Basic,199,12.8,0,5,29,50,0,0,At-Risk
166,2024-03-12,Premium,699,11.7,0,0,20,30,0,0,At-Risk
167,2024-09-14,Premium,699,12.5,7,0,7,57,1,2,Medium
168,2024-09-03,Basic,199,3.6,8,5,5,20,1,2,Medium
169,2024-11-01,Premium,699,11.6,6,0,19,50,0,0,At-Risk
170,2024-02-28,Premium,699,18.2,3,3,36,28,0,1,Loyal
171,2023-09-19,Standard,399,10.3,1,2,30,27,1,1,Loyal
172,2023-04-06,Standard,399,17.3,7,0,10,5,0,2,Medium
173,2024-07-29,Standard,399,18.7,5,1,7,35,1,2,Medium
174,2024-03-09,Premium,699,16.9,6,2,22,55,1,0,At-Risk
175,2023-08-06,Premium,699,24.2,4,2,4,6,0,2,Medium
176,2023-04-28,Basic,199,6.0,1,2,31,54,1,0,At-Risk
177,2024-07-24,Standard,399,20.3,8,4,15,39,1,2,Medium
178,2023-12-14,Basic,199,1.2,4,5,18,48,1,0,At-Risk
179,2023-05-26,Standard,399,4.9,2,4,1,42,1,2,Medium
180,2023-12-16,Premium,699,2.7,8,1,2,24,1,2,Medium
181,2023-02-23,Basic,199,8.1,5,4,24,38,1,0,At-Risk
182,2024-11-08,Basic,199,19.0,0,5,11,5,1,2,Medium
183,2023-04-27,Standard,399,15.4,6,2,32,13,0,1,Loyal
184,2023-08-14,Standard,399,3.2,7,4,28,42,1,0,At-Risk
185,2023-09-19,Standard,399,0.7,4,1,4,49,1,2,Medium
186,2024-01-25,Standard,399,3.4,7,5,21,27,1,1,Loyal
187,2023-02-13,Premium,699,12.8,5,0,15,25,0,2,Medium
188,2024-02-19,Standard,399,11.8,1,2,2,36,1,2,Medium
189,2024-09-24,Premium,699,7.6,6,0,27,20,1,1,Loyal
190,2024-06-20,Standard,399,2.7,1,1,24,27,1,0,At-Risk
191,2023-03-20,Basic,199,21.8,5,1,26,21,0,1,Loyal
192,2024-10-22,Premium,699,13.5,3,2,8,22,0,2,Medium
193,2024-11-02,Basic,199,3.0,4,1,16,11,0,2,Medium
194,2024-08-16,Basic,199,23.8,7,3,12,48,1,2,Medium
195,2024-03-28,Standard,399,21.7,5,1,21,28,1,1,Loyal
196,2024-04-17,Premium,699,20.0,0,2,20,32,1,0,At-Risk
197,2023-04-03,Standard,399,1.9,4,0,3,41,0,2,Medium
198,2024-08-08,Premium,699,9.9,8,5,33,57,1,0,At-Risk
199,2024-04-06,Premium,699,8.4,7,4,13,9,0,2,Medium
200,2023-09-11,Basic,199,24.6,1,4,22,41,1,0,At-Risk
201,2024-01-17,Premium,699,24.8,8,4,29,39,1,1,Loyal
202,2024-10-08,Standard,399,10.5,5,5,25,38,1,0,At-Risk
203,2023-09-16,Premium,699,2.1,1,4,22,43,1,0,At-Risk
204,2024-12-16,Premium,699,8.7,2,2,10,19,0,2,Medium
205,2023-12-03,Premium,699,3.7,1,2,26,35,1,0,At-Risk
206,2023-11-13,Basic,199,2.8,6,4,34,23,1,1,Loyal
207,2023-06-08,Basic,199,8.9,7,1,14,14,0,2,Medium
208,2024-06-23,Basic,199,21.2,1,4,19,49,1,0,At-Risk
209,2023-07-05,Basic,199,22.0,2,4,22,24,1,1,Loyal
210,2023-09-01,Premium,699,18.2,0,3,11,23,0,2,Medium
211,2024-04-25,Standard,399,18.9,7,1,19,34,1,2,Medium
212,2024-01-27,Basic,199,17.1,7,3,24,49,1,0,At-Risk
213,2023-09-14,Premium,699,10.8,2,1,34,51,0,0,At-Risk
214,2023-05-08,Basic,199,21.9,8,0,31,45,0,1,Loyal
215,2024-03-23,Standard,399,19.2,4,3,6,57,1,0,At-Risk
216,2024-05-29,Basic,199,20.5,5,0,15,26,1,2,Medium
217,2023-04-12,Standard,399,10.0,1,2,16,14,1,2,Medium
218,2024-04-28,Premium,699,19.9,2,0,22,18,0,1,Loyal
219,2023-03-23,Premium,699,19.1,7,3,9,39,1,2,Medium
220,2024-06-24,Basic,199,5.8,2,4,17,60,0,0,At-Risk
221,2024-03-05,Standard,399,19.5,3,2,8,7,1,2,Medium
222,2024-06-11,Premium,699,2.0,7,4,30,34,1,1,Loyal
223,2023-09-04,Premium,699,18.1,4,3,16,0,0,1,Loyal
224,2024-06-22,Premium,699,5.1,1,4,27,23,1,1,Loyal
225,2024-04-26,Premium,699,19.8,8,4,33,1,1,1,Loyal
226,2023-03-11,Basic,199,24.5,4,5,25,1,1,1,Loyal
227,2023-05-17,Standard,399,18.5,1,4,16,47,0,0,At-Risk
228,2024-05-05,Basic,199,13.9,2,5,23,29,0,0,At-Risk
229,2023-02-07,Premium,699,20.4,1,5,12,49,0,0,At-Risk
230,2024-06-11,Standard,399,1.6,3,0,13,20,0,2,Medium
231,2023-02-18,Standard,399,12.1,0,5,35,12,1,1,Loyal
232,2024-03-26,Premium,699,7.2,5,3,22,56,1,0,At-Risk
233,2024-06-15,Standard,399,24.4,7,5,22,31,1,1,Loyal
234,2023-07-04,Standard,399,18.3,1,3,6,38,0,2,Medium
235,2024-04-01,Premium,699,8.4,1,2,19,42,1,0,At-Risk
236,2023-12-28,Premium,699,4.6,7,2,28,28,1,1,Loyal
237,2024-01-08,Premium,699,7.2,0,0,28,42,0,0,At-Risk
238,2023-02-05,Premium,699,23.8,2,4,11,43,0,0,At-Risk
239,2023-02-03,Basic,199,6.3,5,2,5,24,0,2,Medium
240,2024-08-10,Premium,699,17.1,5,2,10,28,0,2,Medium
241,2023-04-27,Basic,199,9.5,5,5,34,17,1,1,Loyal
242,2023-09-24,Basic,199,12.7,6,4,12,7,1,2,Medium
243,2023-07-24,Premium,699,5.8,4,5,29,58,0,0,At-Risk
244,2023-03-31,Basic,199,21.4,7,1,9,57,0,2,Medium
245,2023-11-04,Premium,699,16.9,1,4,21,34,1,0,At-Risk
246,2023-05-23,Basic,199,19.9,8,1,12,7,0,2,Medium
247,2024-07-18,Basic,199,1.1,8,4,32,23,1,1,Loyal
248,2024-02-25,Basic,199,2.1,6,5,6,46,1,2,Medium
249,2024-11-27,Standard,399,3.6,5,5,5,4,1,2,Medium
250,2023-05-13,Premium,699,3.6,8,5,23,37,1,1,Loyal
251,2023-06-18,Standard,399,22.8,0,0,33,33,1,0,At-Risk
252,2023-10-18,Basic,199,23.4,3,2,21,60,0,0,At-Risk
253,2024-09-21,Basic,199,5.3,8,2,17,8,0,2,Medium
254,2023-06-25,Premium,699,12.8,2,4,6,60,1,0,At-Risk
255,2024-10-18,Premium,699,21.1,0,0,22,5,1,1,Loyal
256,2024-10-04,Premium,699,16.5,6,4,17,40,1,2,Medium
257,2024-12-02,Premium,699,16.2,4,3,19,15,0,1,Loyal
258,2024-04-20,Standard,399,11.6,0,1,20,28,0,0,At-Risk
259,2023-12-20,Basic,199,15.4,5,5,22,20,0,1,Loyal
260,2024-04-22,Standard,399,19.1,8,4,9,6,1,2,Medium
261,2024-01-29,Basic,199,11.5,2,0,18,3,0,1,Loyal
262,2023-11-17,Premium,699,6.6,2,2,27,59,1,0,At-Risk
263,2024-05-24,Basic,199,12.7,8,3,11,31,0,2,Medium
264,2023-12-28,Basic,199,23.7,8,3,6,15,1,2,Medium
265,2023-04-21,Basic,199,7.4,7,2,4,34,1,2,Medium
266,2023-02-22,Standard,399,22.1,5,3,9,23,1,2,Medium
267,2024-04-06,Premium,699,5.3,8,2,36,4,1,1,Loyal
268,2023-12-14,Premium,699,20.7,1,1,18,6,0,1,Loyal
269,2023-02-11,Premium,699,19.0,3,4,24,32,1,1,Loyal
270,2024-09-12,Basic,199,3.9,5,3,3,33,1,2,Medium
271,2023-11-03,Premium,699,8.5,5,1,9,25,0,2,Medium
272,2023-11-03,Premium,699,12.9,8,4,22,31,1,1,Loyal
273,2024-12-05,Standard,399,9.5,1,3,2,37,1,2,Medium
274,2024-08-15,Premium,699,15.1,4,5,2,50,0,2,Medium
275,2024-09-26,Premium,699,18.2,7,1,15,33,0,2,Medium
276,2023-04-23,Standard,399,20.6,3,0,10,36,0,2,Medium
277,2024-02-25,Basic,199,11.3,6,1,2,26,0,2,Medium
278,2024-07-28,Premium,699,21.9,0,5,31,8,0,1,Loyal
279,2023-12-17,Standard,399,13.4,5,1,31,29,0,1,Loyal
280,2023-09-10,Premium,699,17.1,4,4,23,30,1,1,Loyal
281,2024-12-22,Standard,399,7.8,4,2,36,45,1,0,At-Risk
282,2024-08-10,Standard,399,12.3,8,5,21,17,1,1,Loyal
283,2023-10-25,Premium,699,9.8,6,2,35,49,0,0,At-Risk
284,2023-09-20,Basic,199,23.9,1,2,19,59,1,0,At-Risk
285,2023-10-06,Premium,699,5.7,8,2,31,59,1,0,At-Risk
286,2024-06-27,Basic,199,15.6,3,1,7,3,0,2,Medium
287,2024-11-28,Basic,199,1.8,6,2,15,45,1,0,At-Risk
288,2024-05-02,Basic,199,24.1,2,3,1,41,0,2,Medium
289,2023-04-02,Standard,399,19.0,4,2,13,18,0,2,Medium
290,2023-06-30,Premium,699,13.6,0,1,15,26,0,2,Medium
291,2023-02-08,Basic,199,19.8,2,5,26,55,0,0,At-Risk
292,2024-10-18,Basic,199,14.4,1,2,20,18,0,1,Loyal
293,2023-04-26,Premium,699,12.6,2,4,34,29,1,1,Loyal
294,2023-12-12,Standard,399,18.4,4,5,11,11,1,2,Medium
295,2024-02-15,Standard,399,4.8,6,3,13,32,1,2,Medium
296,2023-01-07,Premium,699,5.0,2,3,7,20,0,2,Medium
297,2024-08-09,Standard,399,6.3,4,2,25,19,0,1,Loyal
298,2023-11-11,Basic,199,16.5,3,0,17,42,1,0,At-Risk
299,2023-10-30,Basic,199,17.3,4,5,26,7,0,1,Loyal
300,2024-09-12,Standard,399,5.9,2,3,15,9,0,2,Medium
301,2023-08-12,Standard,399,17.7,7,4,27,51,1,0,At-Risk
302,2024-07-31,Basic,199,13.4,8,5,6,23,1,2,Medium
303,2023-06-18,Basic,199,20.8,8,1,4,36,0,2,Medium
304,2024-06-06,Standard,399,11.3,3,5,34,37,1,0,At-Risk
305,2024-07-26,Standard,399,11.6,8,3,4,29,1,2,Medium
306,2023-08-12,Standard,399,18.2,6,2,20,52,1,0,At-Risk
307,2023-03-03,Premium,699,1.6,5,5,5,4,1,2,Medium
308,2024-10-18,Basic,199,1.3,6,1,31,49,1,0,At-Risk
309,2024-01-22,Premium,699,9.7,6,3,27,55,0,0,At-Risk
310,2023-05-02,Standard,399,17.2,8,1,6,41,0,2,Medium
311,2023-01-24,Basic,199,10.1,2,5,35,14,0,1,Loyal
312,2023-08-24,Standard,399,17.0,8,3,30,34,1,1,Loyal
313,2023-04-26,Basic,199,9.0,4,1,30,59,0,0,At-Risk
314,2024-08-31,Basic,199,15.6,0,1,27,13,1,1,Loyal
315,2024-03-25,Basic,199,15.1,0,1,29,47,1,0,At-Risk
316,2023-08-28,Basic,199,5.8,0,1,35,32,0,0,At-Risk
317,2024-11-07,Premium,699,14.6,5,1,21,19,0,1,Loyal
318,2023-06-29,Premium,699,10.6,4,0,15,35,0,2,Medium
319,2024-01-26,Premium,699,14.1,0,2,28,60,0,0,At-Risk
320,2024-07-04,Premium,699,17.6,6,1,21,19,0,1,Loyal
321,2023-03-01,Standard,399,21.3,4,5,16,9,0,1,Loyal
322,2023-09-19,Premium,699,24.2,8,4,27,8,1,1,Loyal
323,2023-07-15,Basic,199,16.3,7,2,22,5,0,1,Loyal
324,2024-08-24,Basic,199,9.7,0,0,18,12,0,1,Loyal
325,2023-01-16,Premium,699,5.8,3,2,36,19,0,1,Loyal
326,2023-09-06,Basic,199,24.1,1,5,13,48,1,0,At-Risk
327,2024-01-25,Premium,699,10.2,3,4,14,20,0,2,Medium
328,2024-05-24,Standard,399,16.4,4,2,35,23,1,1,Loyal
329,2023-11-17,Standard,399,20.2,7,2,7,58,1,2,Medium
330,2024-07-20,Standard,399,14.3,3,5,3,9,1,2,Medium
331,2023-09-09,Premium,699,7.7,3,2,27,14,0,1,Loyal
332,2024-10-19,Standard,399,16.5,5,2,36,48,0,0,At-Risk
333,2024-05-15,Premium,699,11.8,5,1,32,8,0,1,Loyal
334,2023-03-18,Basic,199,24.8,0,4,35,2,0,1,Loyal
335,2023-03-11,Premium,699,19.2,6,1,4,53,0,2,Medium
336,2024-10-15,Premium,699,0.7,8,3,10,23,1,2,Medium
337,2023-01-13,Premium,699,16.7,0,0,31,34,0,0,At-Risk
338,2024-12-15,Basic,199,18.2,8,2,34,1,0,1,Loyal
339,2023-06-02,Premium,699,20.3,2,0,28,58,1,0,At-Risk
340,2023-03-22,Basic,199,15.7,4,2,13,17,0,2,Medium
341,2023-03-24,Standard,399,11.7,3,5,26,14,1,1,Loyal
342,2024-10-14,Premium,699,2.8,6,3,3,35,1,2,Medium
343,2023-04-08,Basic,199,2.5,6,5,11,50,1,0,At-Risk
344,2024-12-01,Premium,699,6.1,7,2,3,2,0,2,Medium
345,2023-01-17,Standard,399,14.3,0,1,35,59,0,0,At-Risk
346,2023-09-04,Basic,199,18.9,6,0,10,19,1,2,Medium
347,2023-05-24,Premium,699,17.1,8,2,25,24,0,1,Loyal
348,2023-03-19,Premium,699,12.8,5,0,6,6,0,2,Medium
349,2024-04-06,Standard,399,24.2,5,0,26,40,1,1,Loyal
350,2024-11-07,Standard,399,9.2,6,3,15,11,0,2,Medium
351,2023-10-02,Standard,399,19.4,4,1,6,45,1,2,Medium
352,2023-04-20,Basic,199,17.9,2,5,25,24,1,1,Loyal
353,2023-05-16,Basic,199,23.6,7,2,1,48,1,2,Medium
354,2023-01-27,Basic,199,11.1,8,4,12,32,1,2,Medium
355,2024-02-02,Basic,199,14.1,5,3,23,0,1,1,Loyal
356,2024-01-25,Basic,199,22.7,3,4,36,33,1,1,Loyal
357,2024-03-21,Basic,199,7.1,4,3,9,9,1,2,Medium
358,2024-10-02,Standard,399,7.8,1,2,27,16,0,1,Loyal
359,2023-12-07,Standard,399,11.7,2,2,13,0,0,2,Medium
360,2024-10-28,Premium,699,20.2,5,3,25,21,1,1,Loyal
361,2024-02-12,Premium,699,7.9,3,3,9,20,1,2,Medium
362,2024-01-21,Standard,399,18.5,7,4,19,50,1,0,At-Risk
363,2024-07-17,Standard,399,9.4,3,4,26,34,1,0,At-Risk
364,2024-12-10,Basic,199,23.6,3,3,30,51,1,0,At-Risk
365,2024-11-05,Basic,199,17.0,2,5,27,19,1,1,Loyal
366,2024-02-15,Basic,199,19.8,1,3,28,38,1,0,At-Risk
367,2024-01-04,Premium,699,23.1,6,4,33,2,0,1,Loyal
368,2024-11-11,Premium,699,15.0,1,0,35,49,1,0,At-Risk
369,2024-02-14,Standard,399,16.4,0,4,11,41,0,0,At-Risk
370,2024-06-15,Standard,399,3.1,1,2,28,14,1,1,Loyal
371,2024-12-08,Premium,699,11.4,6,3,15,49,1,0,At-Risk
372,2023-03-29,Premium,699,9.0,0,3,10,6,1,2,Medium
373,2024-05-09,Basic,199,9.0,5,3,10,50,1,0,At-Risk
374,2024-12-28,Standard,399,2.9,7,2,31,4,1,1,Loyal
375,2023-09-07,Basic,199,21.3,1,5,2,51,1,0,At-Risk
376,2023-08-26,Premium,699,14.0,5,4,12,27,0,2,Medium
377,2023-07-22,Standard,399,5.1,6,3,12,1,0,2,Medium
378,2023-03-06,Standard,399,10.0,3,1,28,17,0,1,Loyal
379,2024-04-13,Premium,699,20.1,8,1,7,23,1,2,Medium
380,2024-02-02,Basic,199,16.9,7,4,17,40,1,2,Medium
381,2023-06-26,Premium,699,14.9,5,2,26,54,1,0,At-Risk
382,2023-09-02,Premium,699,23.0,1,5,20,8,1,1,Loyal
383,2023-05-22,Standard,399,5.0,2,4,8,24,1,2,Medium
384,2024-10-22,Premium,699,10.9,7,5,25,34,1,1,Loyal
